pa_pe_section_noname_flag,pa_pe_apicount_synchronization,pa_pe_apicount_dataexchange,pa_pe_apicount_file,pa_pe_apicount_reckoning,pa_pe_apicount_memory,pa_pe_apicount_execution,pa_pe_apicount_console,pa_pe_apicount_diagnostic,pa_pe_apicount_dynamiclibrary,pa_pe_apicount_storage,pa_pe_apicount_resource,pa_pe_apicount_windowing,pa_pe_apicount_network,pa_pe_apicount_security,pa_pe_apicount_registry,pa_pe_apicount_services,pa_pe_apicount_rdp,pa_pe_apicount_cryptography,md5,sha1,sha256,file_name,file_type,mime_type,file_size,av_detection_a,av_detection_b,av_detection_c,av_detection_d,pe_header_fileinfo_item_number,pe_header_timestamp,pe_header_api_import_number,pe_header_sectionsize_text,entropy_section_text,pe_header_sectionsize_data,entropy_section_data,pe_header_sectionsize_bss,entropy_section_rdata,entropy_section_reloc,entropy_section_rsrc,pe_header_section_md5,pe_header_sectionsize_second,pa_pe_section_notregular,pa_pe_section_regular,pe_header_flag_debug,pe_header_resource_languagecount_ENGLISH US,pe_header_resource_languagecount_NEUTRAL,pe_resourcecount_cursor,pa_pe_binarycontained,pe_resourcecount_icon,pe_resourcecount_rcdata,pe_resourcecount_string,pe_resourcecount_group_cursor,pe_resourcecount_group_icon,pe_header_size,pe_header_sectionsize_export,pe_header_sectionsize_import,pe_header_sectionsize_resource,pe_header_section_number,pe_header_baseofdata,pe_header_checksum,pe_header_dll_importnumber,pe_header_emaxalloc,pe_header_ecblp,pe_header_ecp,pe_header_ecparhdr,pe_header_elfanew,pe_header_esp,pe_header_entrypoint,pe_header_filealignment,pe_header_iat_rva,pe_header_fileversion,pe_header_flag_cfg,pe_header_flag_dep,pe_header_flag_image_dll_characteristics_appcontainer,pe_header_flag_image_dll_characteristics_high_entropy_va,pe_header_flag_image_dllcharacteristics_dynamic_base,pe_header_flag_image_dllcharacteristics_force_integrity,pe_header_flag_image_dllcharacteristics_no_bind,pe_header_flag_image_dllcharacteristics_no_isolation,pe_header_flag_image_dllcharacteristics_no_seh,pe_header_flag_image_dllcharacteristics_terminal_server_aware,pe_header_flag_image_dllcharacteristics_wdm_driver,pe_header_flag_image_file_32bit_machine,pe_header_flag_image_file_debug_stripped,pe_header_flag_image_file_dll,pe_header_flag_image_file_executable_image,pe_header_flag_image_file_large_address_aware,pe_header_flag_image_file_line_nums_stripped,pe_header_flag_image_file_local_syms_stripped,pe_header_flag_image_file_net_run_from_swap,pe_header_flag_image_file_relocs_stripped,pe_header_flag_image_file_removable_run_from_swap,pe_header_flag_image_file_system,pe_header_flag_image_file_up_system_only,pe_header_loaderflags,pe_header_majorOSversion,pe_header_minorOSversion,pe_header_reloc_item_number,pe_header_data_item_number,pe_header_sectionalignment,pe_header_sizeofheaders,pe_header_sizeofheapcommit,pe_header_sizeofheapreserve,pe_header_sizeofimage,pe_header_sizeofstackcommit,pe_header_sizeofstackreserve,label
False,10,0,10,5,17,14,2,2,2,0,0,10,18,14,1,0,0,0,07964c5c1e1a0e38eb01c8373e5bebda,46f823ea88a2ff05351750f52d47116ec5311507,3415d6d920f5da6200f2c9647895b2c8de7bc645d1751ea83fbc85c0244a11f4,"['ed01fc1e528b8308dfb56d29cc12c0ad4c1de05ea2b5fe8fa8ef3d15c4d9a29a_3202.exe', 'divxenc.exe']",Win32 EXE,application/octet-stream,513513,Trojan.GenericKD.32643063,SMG.Heur!gen,Trojan.GenericKD.32643063,not-a-virus:AdWare.Win32.Gator.fg,2,2002/04/23 02:20:57,207,,,,,,,,3.36,"['72f1f46969ef0d8df8738032b35d2494', '58f478db73e8b838b6faac06edb7616b', '67e4c6d87b7a6f1362db7c04e13dbd34', 'c80d0fa8aa2ecf24aabba01a6c1ced71']",88576,3,1,False,1,,,True,,,,,,1024,0,160,524,4,233472,0,7,65535,144,3,4,216,184,114265,4096,155752,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,0,4,0,,16,4096,1024,4096,1048576,241664,4096,1048576,adware
False,18,2,7,4,7,17,2,2,2,0,6,22,1,0,2,0,0,0,deba4d6494a36ace36542e22659f5358,8ee0546e1c1fdd1bfd04a5cbb2a26bd201ded0c9,093ba3231ac8e7c5736574d81712b0dad61409947fc15c796c85b7ae48676752,"['Tako', 'takoroco.exe']",Win32 EXE,application/octet-stream,750080,,Trojan.Gen.MBT,Adware.DealPly.2.Gen,not-a-virus:HEUR:AdWare.Win32.Agent.gen,6,2015/02/14 06:09:47,389,630784,6.79,8192,4.06,,0.21,6.67,4.62,"['74eda8711433f8776e809c2b90d112b8', 'e830ce6d0da157a7c090b888f96af4ce', 'd7325f3826d3bcc05b5bd61ada596714', 'd41d8cd98f00b204e9800998ecf8427e', '2dc05128099f785f108709ba7588303a', 'd41d8cd98f00b204e9800998ecf8427e', '4cd808daf81d59e6ebf621255d741f3e', '1b6f14b24cbd7f6ad4b98d2dcd263116', '610e012cf2803c719ecfa25dfa3983c7']",2560,3,6,False,27,24,7,True,2,4,15,7,1,1024,0,11138,61952,9,638976,0,15,65535,80,2,4,256,184,636892,4096,673776,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,5,0,157,16,4096,1024,4096,1048576,794624,16384,1048576,adware
False,8,0,8,4,7,11,4,2,2,0,0,2,0,0,1,0,0,0,dc78b28c3b4d03c0b17068769cc68520,6882848b23a5225a0230b1d6135a29e5f1fc91fb,3c822473ac9c4c6ede887afbdcf1719b3ab37041e4a6aef22b87b8c37acd9653,"['c:/aa/aa', 'C:\\1Grgapt\\Cj40556Rv4\\18_Mr6Aldj\\9N8p\\kg88.exe', 'C:\\\\Users\\\\Dan\\\\Downloads\\\\3c822473ac9c4c6ede887afbdcf1719b3ab37041e4a6aef22b87b8c37acd9653', 'f:\\pe_51.136.12.6\\VirusShare_dc78b28c3b4d03c0b17068769cc68520']",Win32 EXE,application/octet-stream,188624,Gen:Variant.Ulise.80991,Trojan.Gen.2,Gen:Variant.Ulise.80991,not-a-virus:AdWare.Win32.Imali.c,1,2015/08/03 09:35:07,100,113152,6.53,5632,3.17,,5.12,4.88,4.95,"['f8f7bb17a74b68979fcde860217362c9', 'f096178ab47beb29b5d7bfa0e549f161', 'd18e495e155819abb42e1f99bb517818', '706b56f9ec302c426fbed70ed082ff64', 'af0c9601a22fc91d4abdfe316f7682c9']",32768,1,4,False,3,,,True,1,,,,1,1024,0,100,18328,5,118784,205533,4,65535,144,3,4,232,184,58012,4096,118796,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,37,16,4096,1024,4096,1048576,200704,4096,1048576,adware
False,10,0,10,5,17,14,2,2,2,0,0,10,18,14,1,0,0,0,437771fa6276edd23c5dd22cfaccfd31,7f0b63ee52ec6ff86f866016ffb184a3e87cbdad,c725354e367975514c797f7ec9c9134173f976a693f4ace6a300a8fa322bedbc,"['divxenc.exe', '5063bee295ad546bf89400f604f8da799d6a9c15d128f2e15980d731fe71de7f_3202.exe']",Win32 EXE,application/octet-stream,371266,,SMG.Heur!gen,Gen:Adware.Heur.wq3@R0w1JZoi,not-a-virus:AdWare.Win32.Gator.fg,2,2002/04/23 02:20:57,207,,,,,,,,3.36,"['72f1f46969ef0d8df8738032b35d2494', '4e987d65c170222d51ec69f83dcf477e', '67e4c6d87b7a6f1362db7c04e13dbd34', 'c80d0fa8aa2ecf24aabba01a6c1ced71']",88576,3,1,False,1,,,True,,,,,,1024,0,160,524,4,233472,0,7,65535,144,3,4,216,184,114265,4096,155752,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,0,4,0,,16,4096,1024,4096,1048576,241664,4096,1048576,adware
False,10,1,8,4,10,10,3,1,2,0,6,19,0,0,1,0,0,0,310be5a1c47a7e28fdba92ff2b7af393,e9f92c295df5a2eb73a6b7b15a82e666fc116237,439653ac2e9047ec8f4027fb8e96714568ca8bc44e289aa22721c243c4a850ea,[],Win32 EXE,application/octet-stream,467968,,ML.Attribute.HighConfidence,,not-a-virus:AdWare.Win32.DealPly.eernh,,1992/06/19 22:22:17,344,,,,,,0.2,6.71,5.02,"['2927ba9c0e3c9effb56eac96b49ed27c', '1f2c03595e41d7b7015f0925c2e3f61e', 'd41d8cd98f00b204e9800998ecf8427e', '206fe1b555cf4ce2151eb7f60fee88a0', 'd41d8cd98f00b204e9800998ecf8427e', '69d889a42dbd1ed0211dd1ebb211f255', 'e9ea91469cf52ceb828e829f229bcd97', '79c4db584fe18cb757bdc71158cf0a8f']",9216,5,3,False,4,28,7,True,2,2,12,7,1,1024,0,8428,18432,8,413696,0,12,65535,80,2,4,256,184,408796,4096,434436,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,4,0,103,16,4096,1024,4096,1048576,499712,16384,1048576,adware
False,10,1,5,3,5,12,1,1,2,0,6,22,0,0,2,0,0,0,52a0f371acf68aa3e2846c78e92f2334,054da541fa99e8e30dec69e6afa889bd8462a109,bccb23257033db5dc6b0461364e970827ba5078200b1f4e3a49ec1a712db10ef,"['C:/Users/seongmin/Documents/VT2/malware/20170830/52a0f371acf68aa3e2846c78e92f2334.vir', '054da541fa99e8e30dec69e6afa889bd8462a109']",Win32 EXE,application/octet-stream,526336,,Trojan.Gen.2,Adware.DealPly.1.Gen,not-a-virus:HEUR:AdWare.Win32.Generic,0,2016/08/15 00:00:00,340,459776,6.89,7168,3.80,0,0.20,6.66,4.97,"['0ed354a31c15f371217f49020a881342', '5cac58030390d173221870612595b075', 'b85cb13a4a3b7efdcc7a000f5f57b749', 'd41d8cd98f00b204e9800998ecf8427e', 'fff119ab5f9afba1d2c5fb1869f6e987', 'd41d8cd98f00b204e9800998ecf8427e', '0c2c93740b604ec1541c64d85b2e6be5', 'aea08ae3c4b4c8d8b47d72991fd61174', '2f9a301576af61952b957daf9b10c8d5']",2048,3,6,False,14,20,7,True,2,3,13,7,1,1024,0,9600,19968,9,471040,0,13,65535,80,2,4,256,184,468748,4096,501488,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,0,4,0,116,16,4096,1024,4096,1048576,569344,16384,1048576,adware
False,10,0,14,7,10,15,4,2,2,0,0,4,24,11,1,0,0,1,eb9883968182ef6d70fea1117e4f7fe1,c7df7db76155c431942c352a6dddd5ce4373031a,bb6f51344c29019a6be8305ccf2a5dbeec6667e821f9b6f14b44cc02526612d4,"['1002-c7df7db76155c431942c352a6dddd5ce4373031a', 'NSETUP.EXE']",Win32 EXE,application/octet-stream,1790976,Adware.DNSUnlocker.H,null,Adware.DNSUnlocker.H,not-a-virus:HEUR:AdWare.Win32.Adposhel.gen,,2017/11/07 07:15:09,189,648192,7.69,983552,1.81,,7.1,5.72,,"['af43a63dc12b59b1813dbe53918194d7', 'b2672f3ce1cdd9be6e1c7b4b4ac81e91', '2a882f8dcd8e01e31ae7a09a41115f5e', '026b65c3bf228888fa7ba9f10c2164a0']",128000,1,3,False,,,,,,,,,,1024,0,200,0,4,655360,0,9,65535,144,3,4,272,184,135371,4096,655988,0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,0,5,1,196,16,4096,1024,20480,1458176,1810432,4096,1155072,adware
False,9,0,7,4,9,12,6,2,2,0,3,0,0,0,0,0,0,0,58ceba18fc62e8972d59ac763eaa3e62,2e2ac4f090fb88660c37bfb5ae19ea38e2cc67ab,472f819448e909f2d556476b564bede0d855ee1e48b06ecfd3f61cbe46edf2d7,"['VirusShare_58ceba18fc62e8972d59ac763eaa3e62', '58ceba18fc62e8972d59ac763eaa3e62', 'f:\\output_black_258_255\\pe32\\VirusShare_58ceba18fc62e8972d59ac763eaa3e62']",Win32 EXE,application/octet-stream,353792,Gen:Variant.Adware.iBryte.22,PUA.Downloader,Gen:Variant.Adware.iBryte.22,not-a-virus:AdWare.Win32.iBryte.hpkn,4,2014/12/12 23:00:25,101,283136,6.47,7168,3.94,,4.39,,5.90,"['94ca001521ca4aaa42d4cf9d675c0a93', 'a7871243954d787c203964d28d7be4dc', '258fee5bf43156916b94fabb57cbd1c9', '75b2e17a35d9f9b2c9406444d494e731']",41984,0,4,False,5,,,True,1,,,,1,1024,0,60,20096,4,290816,410243,2,65535,144,3,4,224,184,131937,4096,291220,0,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,0,5,0,,16,4096,1024,4096,1048576,372736,4096,1048576,adware
False,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,c7c94aecd6641cdd9039a83c046ea5aa,d197068e87693d69083214283afe53ac8f3aeaf0,47b3c53ec9a12c3b01032dd461720256a3e51af044552a3713c0a246e1d896e0,"['divxenc.exe', '47b3c53ec9a12c3b_cuckoo-a4e6c54a9b824f62020414694d0f1fdf65c38df59f9390af0f90af1cda8935bc_3202u.exe']",Win32 EXE,application/octet-stream,285240,Generic.Malware.SFYd.E4353219,PUA.Gen.2,Generic.Malware.SFYd.E4353219,not-a-virus:AdWare.Win32.Gator.fg,2,2002/04/23 02:20:57,9,,,,,,,,3.36,"['d41d8cd98f00b204e9800998ecf8427e', 'e82895c48b5974b570385557c91d074f', '67e4c6d87b7a6f1362db7c04e13dbd34']",88576,2,1,False,1,,,True,,,,,,4096,0,408,524,3,233472,0,7,65535,144,3,4,216,184,231520,4096,234156,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,True,False,False,False,0,4,0,,16,4096,4096,4096,1048576,237568,4096,1048576,adware
False,10,0,10,5,17,14,2,2,2,0,0,10,18,14,1,0,0,0,e4bc2996564e67dc76e51e52a60df9c0,9d66c1ee4fdcb3925b4ae11a08ded1bad81bc243,7752e6ba53bccc7ce9f740885b8600c1ff1b6f4eb34517fe9b3b775c7e796e98,"['e4bc2996564e67dc76e51e52a60df9c0.virus', 'divxenc.exe']",Win32 EXE,application/octet-stream,532575,,SMG.Heur!gen,Gen:Adware.Heur.Gq3@R0w1JZoi,not-a-virus:AdWare.Win32.Gator.fg,2,2002/04/23 02:20:57,207,,,,,,,,3.36,"['72f1f46969ef0d8df8738032b35d2494', '58f478db73e8b838b6faac06edb7616b', '67e4c6d87b7a6f1362db7c04e13dbd34', 'c80d0fa8aa2ecf24aabba01a6c1ced71']",88576,3,1,False,1,,,True,,,,,,1024,0,160,524,4,233472,0,7,65535,144,3,4,216,184,114265,4096,155752,0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,True,False,False,False,0,4,0,,16,4096,1024,4096,1048576,241664,4096,1048576,adware
