pa_pe_section_noname_flag,pa_pe_apicount_synchronization,pa_pe_apicount_dataexchange,pa_pe_apicount_file,pa_pe_apicount_reckoning,pa_pe_apicount_memory,pa_pe_apicount_execution,pa_pe_apicount_console,pa_pe_apicount_diagnostic,pa_pe_apicount_dynamiclibrary,pa_pe_apicount_storage,pa_pe_apicount_resource,pa_pe_apicount_windowing,pa_pe_apicount_network,pa_pe_apicount_security,pa_pe_apicount_registry,pa_pe_apicount_services,pa_pe_apicount_rdp,pa_pe_apicount_cryptography,md5,sha1,sha256,file_name,file_type,mime_type,file_size,av_detection_a,av_detection_b,av_detection_c,av_detection_d,pe_header_fileinfo_item_number,pe_header_timestamp,pe_header_api_import_number,pe_header_sectionsize_text,entropy_section_text,pe_header_sectionsize_data,entropy_section_data,pe_header_sectionsize_bss,entropy_section_rdata,entropy_section_reloc,entropy_section_rsrc,pe_header_section_md5,pe_header_sectionsize_second,pa_pe_section_notregular,pa_pe_section_regular,pe_header_flag_debug,pe_header_resource_languagecount_ENGLISH US,pe_header_resource_languagecount_NEUTRAL,pe_resourcecount_cursor,pa_pe_binarycontained,pe_resourcecount_icon,pe_resourcecount_rcdata,pe_resourcecount_string,pe_resourcecount_group_cursor,pe_resourcecount_group_icon,pe_header_size,pe_header_sectionsize_export,pe_header_sectionsize_import,pe_header_sectionsize_resource,pe_header_section_number,pe_header_baseofdata,pe_header_checksum,pe_header_dll_importnumber,pe_header_emaxalloc,pe_header_ecblp,pe_header_ecp,pe_header_ecparhdr,pe_header_elfanew,pe_header_esp,pe_header_entrypoint,pe_header_filealignment,pe_header_iat_rva,pe_header_fileversion,pe_header_flag_cfg,pe_header_flag_dep,pe_header_flag_image_dll_characteristics_appcontainer,pe_header_flag_image_dll_characteristics_high_entropy_va,pe_header_flag_image_dllcharacteristics_dynamic_base,pe_header_flag_image_dllcharacteristics_force_integrity,pe_header_flag_image_dllcharacteristics_no_bind,pe_header_flag_image_dllcharacteristics_no_isolation,pe_header_flag_image_dllcharacteristics_no_seh,pe_header_flag_image_dllcharacteristics_terminal_server_aware,pe_header_flag_image_dllcharacteristics_wdm_driver,pe_header_flag_image_file_32bit_machine,pe_header_flag_image_file_debug_stripped,pe_header_flag_image_file_dll,pe_header_flag_image_file_executable_image,pe_header_flag_image_file_large_address_aware,pe_header_flag_image_file_line_nums_stripped,pe_header_flag_image_file_local_syms_stripped,pe_header_flag_image_file_net_run_from_swap,pe_header_flag_image_file_relocs_stripped,pe_header_flag_image_file_removable_run_from_swap,pe_header_flag_image_file_system,pe_header_flag_image_file_up_system_only,pe_header_loaderflags,pe_header_majorOSversion,pe_header_minorOSversion,pe_header_reloc_item_number,pe_header_data_item_number,pe_header_sectionalignment,pe_header_sizeofheaders,pe_header_sizeofheapcommit,pe_header_sizeofheapreserve,pe_header_sizeofimage,pe_header_sizeofstackcommit,pe_header_sizeofstackreserve,label
False,10,0,11,4,15,10,4,4,4,0,2,12,0,0,1,0,0,0,10c72c6c4dbf36679845100caf5c1a14,f342a14ae2ccaa96094817617c6d2b685d0112f6,ed35b74385d613d0286adfd756088640b6624757bfe6c6dae6955e7b41dc1254,['10c72c6c4dbf36679845100caf5c1a14.virus'],Win32 EXE,application/octet-stream,559864,,PUA.DownloadSponsor,Application.Bundler.DownloadGuide.KE,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2018/11/16 05:03:04,200,361472,6.56,8704,3.94,,7.29,5.83,5.49,"['66fb890b6815e40e6282ea451878b382', 'd8a20660cb464e3dff63f62da0282331', '7b335a4c050ac3f0c981d08e158d44de', '7bbdecccc0cf96f0d75021077ab6b110', '37fa0adc7813e1f2f485deec07d8b5eb']",138240,1,4,False,,6,,True,3,,,,1,1024,0,200,16064,5,368640,594154,9,65535,144,3,4,248,184,85052,4096,368728,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,101,16,4096,1024,4096,1048576,573440,4096,1048576,downloader
False,1,4,8,2,5,7,0,1,2,0,0,7,0,0,1,0,0,0,5dd5e26162d147f53445fa3ae69b9620,8ff62ce5a8b8a93a9e2fd24236f0cbab55e9e70e,867118b96a69520d1d9267371de73073ddb0b0708e7e6028bab2faa212d2f410,['5dd5e26162d147f53445fa3ae69b9620.virus'],Win32 EXE,application/octet-stream,63811,,ML.Attribute.HighConfidence,Gen:Application.Downloader.InstallMonster.2.84dyY@bi0cL3ei,HEUR:Trojan-Downloader.NSIS.Adload.gen,0,2012/02/24 19:19:54,172,28160,6.51,512,1.43,,4.39,5.41,4.42,"['00499a6f70259150109c809d6aa0e6ed', '07990aaa54c3bc638bb87a87f3fb13e3', '014871d9a00f0e0c8c2a7cd25606c453', 'd41d8cd98f00b204e9800998ecf8427e', '22545d3f52ecd759f81f535111626ccc', '655a3ab9ae4afcf4eb4db06b1a985fc4']",11264,2,4,False,6,,,True,1,,,,1,1024,0,180,2776,6,32768,0,8,65535,144,3,4,208,184,14467,4096,32864,6,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,0,,16,4096,1024,4096,1048576,1499136,4096,1048576,downloader
False,1,4,8,2,5,7,0,1,2,0,0,7,0,0,1,0,0,0,bac9173ade34483e0b7605a1954f2b6d,21989ba40a681e53c40bdf44f02c81c75db4b441,be7f5d5740cd3542fbf4adcd07836ceea3e774d7804c55b85c4fd220bca8d06f,[],Win32 EXE,application/octet-stream,59436,Zum.Application.InstallMonster.2,ML.Attribute.HighConfidence,Zum.Application.InstallMonster.2,not-a-virus:HEUR:Downloader.NSIS.AdLoad.gen,,2012/02/24 19:19:59,172,28672,6.5,512,1.47,,4.39,5.66,4.55,"['f569e353af0ed51bf4c216faa9bed4e7', '91eee43954e068e650f7b73a8b0e6915', 'db9f7acbf1c3ddfe255077b699955dfa', 'd41d8cd98f00b204e9800998ecf8427e', 'ba21f03a123fdfef9e0085fffbba4cc7', '2b8587561ba13cec9edf126fcc9f3bf3']",11264,2,4,False,6,,,True,1,,,,1,1024,0,180,2552,6,32768,0,8,65535,144,3,4,208,184,14819,4096,32864,6,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,0,,16,4096,1024,4096,1048576,1007616,4096,1048576,downloader
False,10,0,11,4,15,10,4,4,4,0,2,12,0,0,1,0,0,0,f28dd130824bc78f7c13defcee47e79a,e83bed4f693810bafd97357f611b95e37a8a4296,a4c74fc7dc289b3bb0cec261443c07f266eaeb96b49e08406b5f9f03c0408c06,['f28dd130824bc78f7c13defcee47e79a.virus'],Win32 EXE,application/octet-stream,559864,,PUA.Downloader,Application.Bundler.DownloadGuide.KE,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2018/11/16 05:03:04,200,361472,6.56,8704,3.94,,7.29,5.83,5.49,"['66fb890b6815e40e6282ea451878b382', 'd8a20660cb464e3dff63f62da0282331', '7b335a4c050ac3f0c981d08e158d44de', '7bbdecccc0cf96f0d75021077ab6b110', '37fa0adc7813e1f2f485deec07d8b5eb']",138240,1,4,False,,6,,True,3,,,,1,1024,0,200,16064,5,368640,607961,9,65535,144,3,4,248,184,85052,4096,368728,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,101,16,4096,1024,4096,1048576,573440,4096,1048576,downloader
False,10,0,11,4,15,10,4,4,4,0,2,12,0,0,1,0,0,0,3c6b4c5806f83ceca77c3cfaf794700f,1b89fe441513d43b5a6daed72577a9882b1605b5,a3a935fec24961e3d9b1e715085de2358a2b51b8301f908cfbdaee67467f57a9,['3c6b4c5806f83ceca77c3cfaf794700f.virus'],Win32 EXE,application/octet-stream,559880,,PUA.DownloadSponsor,Application.Bundler.DownloadGuide.KE,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2018/11/16 05:03:04,200,361472,6.56,8704,3.94,,7.29,5.83,5.49,"['66fb890b6815e40e6282ea451878b382', 'd8a20660cb464e3dff63f62da0282331', '7b335a4c050ac3f0c981d08e158d44de', '7bbdecccc0cf96f0d75021077ab6b110', '37fa0adc7813e1f2f485deec07d8b5eb']",138240,1,4,False,,6,,True,3,,,,1,1024,0,200,16064,5,368640,587745,9,65535,144,3,4,248,184,85052,4096,368728,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,101,16,4096,1024,4096,1048576,573440,4096,1048576,downloader
False,10,0,11,4,15,10,4,4,4,0,2,12,0,0,1,0,0,0,10eeab9dec7caffeae87c67cd38b923a,39de05b9acf85e5651eabb07cb90268f02b08987,e085c55ff70215030ed4e336eae9c77f08664df854ff30198299d56bef51ff66,['14243693'],Win32 EXE,application/octet-stream,559824,,PUA.Downloader,Gen:Variant.Application.Bundler.DownloadGuide.24,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2018/11/16 05:03:04,200,361472,6.56,8704,3.94,,7.29,5.83,5.49,"['66fb890b6815e40e6282ea451878b382', 'd8a20660cb464e3dff63f62da0282331', '7b335a4c050ac3f0c981d08e158d44de', '7bbdecccc0cf96f0d75021077ab6b110', '37fa0adc7813e1f2f485deec07d8b5eb']",138240,1,4,False,,6,,True,3,,,,1,1024,0,200,16064,5,368640,560115,9,65535,144,3,4,248,184,85052,4096,368728,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,101,16,4096,1024,4096,1048576,573440,4096,1048576,downloader
False,10,0,11,4,15,10,4,4,4,0,2,12,0,0,1,0,0,0,b95148da83eed0cce2201686bcf87aaa,f6b968c8b500147a55ee5e037ebb284dfe6898fb,11d42c8094db27dfbc639f0b02f9f71cda0365359e7684b1c0c63e3515b3129d,['b95148da83eed0cce2201686bcf87aaa.virus'],Win32 EXE,application/octet-stream,560552,,PUA.Downloader,Gen:Variant.Application.Bundler.DownloadGuide.24,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2018/11/16 05:03:04,200,361472,6.56,8704,3.94,,7.29,5.83,5.49,"['66fb890b6815e40e6282ea451878b382', 'd8a20660cb464e3dff63f62da0282331', '7b335a4c050ac3f0c981d08e158d44de', '7bbdecccc0cf96f0d75021077ab6b110', '37fa0adc7813e1f2f485deec07d8b5eb']",138240,1,4,False,,6,,True,3,,,,1,1024,0,200,16064,5,368640,616881,9,65535,144,3,4,248,184,85052,4096,368728,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,101,16,4096,1024,4096,1048576,573440,4096,1048576,downloader
False,1,4,8,2,5,7,0,1,2,0,0,7,0,0,1,0,0,0,61d88c6ac2d55e8bef076ed40b63f770,f42e95c1553fd7d1ccf52b6be89033e8e34ed5f2,16bf4cd577511030653bdd0b4aaf28973fd53d41df8f5cdd56a246270f46d6a2,['61d88c6ac2d55e8bef076ed40b63f770.virus'],Win32 EXE,application/octet-stream,63803,,ML.Attribute.HighConfidence,Gen:Application.Downloader.InstallMonster.2.84dyY@bi0cL3ei,HEUR:Trojan-Downloader.NSIS.Adload.gen,0,2012/02/24 19:19:54,172,28160,6.51,512,1.43,,4.39,5.41,4.42,"['00499a6f70259150109c809d6aa0e6ed', '07990aaa54c3bc638bb87a87f3fb13e3', '014871d9a00f0e0c8c2a7cd25606c453', 'd41d8cd98f00b204e9800998ecf8427e', '22545d3f52ecd759f81f535111626ccc', '1c33d61e53d564a5c9fabc3e16b5fa29']",11264,2,4,False,6,,,True,1,,,,1,1024,0,180,2776,6,32768,0,8,65535,144,3,4,208,184,14467,4096,32864,6,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,0,,16,4096,1024,4096,1048576,1499136,4096,1048576,downloader
False,1,4,8,2,5,7,0,1,2,0,0,7,0,0,1,0,0,0,e94a99dcc0433f8465f8154d450ade26,d8a915fd5fb7ad337691aaa22f543941f7eeb7b6,d0556cf96af1da80eea584abd4cd34fb33d45b0ca7eb7b159ec6d0a9663dbe54,[],Win32 EXE,application/octet-stream,63810,,ML.Attribute.HighConfidence,Gen:Application.Downloader.InstallMonster.2.084dyY@bi0cL3ei,HEUR:Trojan-Downloader.NSIS.Adload.gen,0,2012/02/24 19:19:54,172,28160,6.51,512,1.43,,4.39,5.41,4.42,"['00499a6f70259150109c809d6aa0e6ed', '07990aaa54c3bc638bb87a87f3fb13e3', '014871d9a00f0e0c8c2a7cd25606c453', 'd41d8cd98f00b204e9800998ecf8427e', '22545d3f52ecd759f81f535111626ccc', 'd16f773ecf8338d76aabd5c4c606f289']",11264,2,4,False,6,,,True,1,,,,1,1024,0,180,2776,6,32768,0,8,65535,144,3,4,208,184,14467,4096,32864,6,False,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,0,,16,4096,1024,4096,1048576,1499136,4096,1048576,downloader
False,10,0,9,5,15,10,4,4,4,0,2,12,0,0,1,0,0,0,c6a04119d9b6ec601a44468978d0eb46,c1cc3556806e8f0458fd4dba932730463a7f952e,04b615d99c947b7be73f4e2286704a4ee447f0f7ee8e876aacb5e932428299bc,[],Win32 EXE,application/octet-stream,543416,,SMG.Heur!gen,Gen:Variant.Application.Bundler.DownloadGuide.48,not-a-virus:HEUR:Downloader.Win32.DownloaderGuide.gen,1,2017/08/10 04:02:11,199,341504,6.55,8704,3.95,,7.30,5.95,4.88,"['42d9ebf23badae8b2aee798cd3d18c0a', '263b09ea4be4ec7e8154300277e1e4ee', '0a81b6aacae4f6b3a1f41a6b2b9cc655', 'e050684f6d1d8e5927ab6ff342f10c09', 'e35f3175d22ec134e8f470cf063773c8']",138240,1,4,False,,6,,True,3,,,,1,1024,0,160,16064,5,348160,574586,7,65535,144,3,4,240,184,81308,4096,348236,0,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,0,5,1,97,16,4096,1024,4096,1048576,557056,4096,1048576,downloader
